Cohort,Male_Profile,Female_Profile,Profile_1624,Profile_2534,Profile_3544,Profile_4554,Profile_5564,Profile_65,ABC1_Profile,C2DE_Profile
action film fans,60,40,20,30,20,15,10,5,50,50
animation fans,60,40,30,30,20,10,5,5,50,50
jewellery makers,30,70,10,20,20,20,20,10,60,40
religious devotees- islam,50,50,20,20,20,15,15,10,40,60
fragrance collectors,40,60,10,20,20,20,15,15,60,40
aspiring guitarists,60,40,30,25,20,10,10,5,60,40
adidas fans,60,40,30,30,20,10,5,5,60,40
aspiring composers,60,40,25,30,20,10,10,5,60,40
advertising experts,50,50,10,30,25,20,10,5,75,25
economics thinkers,70,30,10,20,20,20,20,10,60,40
aerospace enthusiasts,85,15,20,30,20,15,10,5,60,40
frisbee players,60,40,30,35,20,10,4,1,60,40
religious sceptics,60,40,20,30,20,15,10,5,60,40
surfing devotees,70,30,20,30,20,15,10,5,60,40
american football fans,60,40,20,25,20,15,10,10,50,50
amsterdam interested,50,50,20,30,20,15,10,5,60,40
animated film fans,50,50,20,30,20,15,10,5,60,40
baby & toddler fashion,10,90,10,30,30,20,5,5,60,40
dental care prioritisers,45,55,10,20,20,20,15,15,60,40
in the honeymoon period,50,50,30,35,20,10,4,1,60,40
home design fans- lights & fixtures,40,60,10,20,20,20,20,10,60,40
home design fans- living room furniture,40,60,10,20,20,20,15,15,60,40
anime film fans,50,50,30,30,20,10,5,5,60,40
home design fans- rugs & carpets,30,70,5,15,20,20,20,20,60,40
style minded- luggage,40,60,10,20,20,20,15,15,60,40
h&m fans,40,60,30,35,20,10,4,1,60,40
archaeology buffs,60,40,10,15,20,20,20,15,60,40
archery aficionados,60,40,10,20,20,20,20,10,60,40
art fans,40,60,15,20,20,15,15,15,60,40
hands-on diyers,60,40,10,20,20,20,20,10,60,40
costa rica interested,50,50,20,30,20,15,10,5,60,40
art and theatre fans,40,60,10,20,20,20,15,15,60,40
egypt interested,40,60,20,30,20,15,10,5,60,40
greece interested,40,60,20,30,20,15,10,5,60,40
guatemala interested,40,60,20,30,20,15,10,5,50,50
art aficionados- learning more,40,60,10,20,20,20,15,15,75,25
ireland interested,45,55,15,25,20,15,15,10,70,30
israel interested,50,50,15,20,20,15,15,15,60,40
malta interested,50,50,10,20,20,20,15,15,60,40
romania interested,45,55,20,25,20,15,10,10,60,40
singapore interested,50,50,20,30,20,15,10,5,60,40
soccer fans,60,40,20,30,20,15,10,5,50,50
south africa interested,50,50,20,30,20,15,10,5,60,40
st. petersburg interested,45,55,15,25,20,15,15,10,70,30
astrology believers,40,60,20,30,20,15,10,5,60,40
sweden interested,50,50,20,30,20,15,10,5,60,40
caribbean interested,40,60,10,20,20,20,15,15,60,40
stargazing aficionados,60,40,10,20,20,20,15,15,60,40
philippines interested,40,60,20,30,20,15,10,5,60,40
uk interested,45,55,15,25,20,15,15,10,70,30
aussie rules loyalists,60,40,20,25,20,15,10,10,50,50
us interested,50,50,20,30,20,15,10,5,60,40
us interested,50,50,20,30,20,15,10,5,60,40
london interested,45,55,20,30,20,15,10,5,60,40
auto racing enthusiasts,85,15,15,25,20,20,15,5,60,40
exercise & fitness video gamers,85,15,40,35,15,5,3,2,60,40
backgammon players,60,40,10,20,20,20,15,15,60,40
summer olympics fans,50,50,15,20,20,15,15,15,60,40
backpackers,60,40,30,40,15,10,4,1,50,50
3d tech fans,70,30,20,30,20,15,10,5,60,40
badminton buffs,50,50,20,25,20,15,10,10,60,40
experience seeker - ballet,30,70,10,20,20,20,15,15,60,40
barbershop music fans,60,40,5,10,15,20,25,25,60,40
base jumping daredevils,85,15,20,40,25,10,5,0,60,40
baseball fans,60,40,10,20,20,20,15,15,50,50
basketball fans- attendees,60,40,20,30,20,15,10,5,60,40
beach volleyball fans,50,50,20,30,20,15,10,5,60,40
beatboxing fans,70,30,40,30,15,10,4,1,50,50
beekeepers,60,40,5,10,15,20,25,25,50,50
on the shopping list- beer,60,40,10,20,25,20,15,10,50,50
beer tasting aficionados,70,30,10,20,30,20,15,5,60,40
big 10 fans,60,40,20,25,20,15,10,10,60,40
cinema goers & film lovers,50,50,20,25,20,15,10,10,60,40
pet bird owners,40,60,10,20,20,20,15,15,60,40
birdwatching buffs,40,60,5,10,15,20,25,25,60,40
modern blacksmiths,85,15,10,20,25,20,15,10,60,40
bloggers,40,60,20,30,20,15,10,5,60,40
bmx enthusiasts,85,15,40,30,20,7,2,1,50,50
board games players,50,50,20,30,20,15,10,5,60,40
boating aficionados,70,30,5,10,15,20,25,25,60,40
community activists,40,60,20,30,20,15,10,5,60,40
skateboarding buffs,85,15,50,30,10,5,3,2,60,40
fitness fans- bodybuilding,75,25,20,30,25,15,7,3,60,40
plane enthusiasts,85,15,10,20,20,20,15,15,60,40
bollywood film fans,40,60,20,30,20,15,10,5,60,40
bonsai tree growers,60,40,5,15,20,20,20,20,60,40
book club members,30,70,10,20,15,20,20,15,60,40
book collectors,60,40,5,10,15,20,25,25,60,40
botanists,40,60,10,20,20,20,20,10,60,40
bowling players,60,40,10,20,20,20,15,15,50,50
boxing aficionados,75,25,20,30,25,15,7,3,60,40
jujitsu experts,70,30,20,30,25,15,7,3,60,40
breakdance admirers,60,40,30,30,20,10,5,5,50,50
browser games players,50,50,20,30,20,15,10,5,60,40
religious devotees- buddhism,50,50,10,20,20,15,15,20,60,40
bundesliga fans,70,30,20,30,20,15,10,5,60,40
business strategists,60,40,5,20,30,25,15,5,80,20
business planners- industrial products,70,30,5,20,30,25,15,5,60,40
elegant calligraphers,40,60,10,20,20,20,15,15,60,40
outdoor adventurers- campers,60,40,10,20,30,20,10,10,60,40
outdoor adventurers,60,40,20,30,20,15,10,5,60,40
canoeing enthusiasts,60,40,10,20,25,20,15,10,60,40
canyoning adventurers,60,40,20,30,25,15,7,3,65,35
car tuning enthusiasts,90,10,30,40,20,7,2,1,60,40
card games players,50,50,20,20,20,15,15,10,60,40
fitness fans- cardio,50,50,20,30,25,15,7,3,60,40
pet cat owners,35,65,10,20,20,20,15,15,60,40
doll collectors,30,70,10,15,20,20,20,15,60,40
cave explorers,60,40,10,20,25,20,15,10,60,40
celebrity followers,40,60,20,30,20,15,10,5,60,40
charity givers,44,56,10,15,20,20,20,15,60,40
checkers players,60,40,10,20,20,15,20,15,50,50
cheerleading supporters,40,60,30,25,20,10,10,5,60,40
chemical engineers,70,30,10,30,25,20,10,5,80,20
chess players,85,15,20,30,20,15,10,5,60,40
religious devotees- christianity,48,52,12,18,16,14,20,20,60,40
civil engineers,70,30,10,20,25,20,15,10,60,40
classical music fans,50,50,10,15,15,20,20,20,60,40
clinical medicine scholars,50,50,10,20,20,20,20,10,60,40
coin collectors,80,20,5,10,15,20,25,25,60,40
ncaa baseball fans,60,40,20,25,20,15,10,10,60,40
ncaa basketball devotees,60,40,20,25,20,15,10,10,50,50
ncaa football lovers,70,30,20,30,20,15,10,5,60,40
college sports fans,60,40,20,25,20,15,10,10,50,50
combat sports admirers,75,25,20,30,25,15,7,3,50,50
comedy film fans,50,50,20,25,20,15,10,10,60,40
comic book collectors,75,25,20,30,25,15,7,3,60,40
investment enthusiasts- commodities,70,30,5,15,20,25,20,15,60,40
detailed model builders,85,15,10,20,25,20,15,10,60,40
communication experts,50,50,10,20,20,20,20,10,60,40
gardening fans- composting,40,60,10,20,20,20,15,15,60,40
computer programmers,80,20,10,40,30,15,4,1,75,25
experience seeker - concerts,50,50,30,30,20,10,5,5,60,40
tech enthusiasts- consumer electronics,70,30,20,30,20,15,10,5,60,40
crafts fans,30,70,10,20,20,20,15,15,60,40
kung fu practitioners,70,30,20,30,20,15,10,5,60,40
cribbage players,60,40,5,10,15,20,25,25,60,40
cricket fans,70,30,20,25,20,15,10,10,60,40
cricket world cup fans,70,30,20,30,20,15,10,5,60,40
crochet creators,20,80,10,20,20,20,15,15,60,40
cross-stitch enthusiasts,20,80,5,15,20,25,20,15,60,40
puzzle hobbyists- crossword puzzles,40,60,5,10,15,20,25,25,60,40
puzzle hobbyists- cryptography,60,40,10,20,20,20,15,15,60,40
crystal collectors,40,60,10,20,20,20,15,15,60,40
curling enthusiasts,50,50,10,20,20,20,15,15,60,40
cycling fans,70,30,10,20,25,20,15,10,60,40
dancing fans,40,60,20,30,20,15,10,5,60,40
dance music fans,50,50,30,35,20,10,3,2,60,40
experience seeker - dancehalls,40,60,20,30,20,15,10,5,60,40
darts players,70,30,10,20,25,20,15,10,60,40
debaters,50,50,30,25,20,10,10,5,60,40
home design fans- decorating,30,70,10,20,20,20,15,15,60,40
aspiring authors,40,60,20,30,20,15,10,5,60,40
die-cast toy collectors,80,20,10,20,20,20,20,10,60,40
digital art fans,50,50,20,30,20,15,10,5,60,40
diorama creators,40,60,10,20,20,20,15,15,60,40
social studies minds,50,50,10,20,20,20,15,15,60,40
pet dog owners,48,52,12,20,18,16,17,17,60,40
drama fans,40,60,15,20,20,15,15,15,60,40
electronics buffs,70,30,20,30,20,15,10,5,60,40
drama film fans,40,60,10,20,20,20,15,15,60,40
drawing fans,40,60,20,30,20,15,10,5,60,40
aspiring drummers,60,40,30,25,20,15,7,3,50,50
reading fans- e-books,45,55,15,25,20,15,15,10,60,40
e-sports gamers,85,15,50,30,10,5,3,2,60,40
makeup & cosmetics fans,10,90,30,35,20,10,4,1,60,40
image conscious- makeup & beauty,10,90,30,35,20,10,4,1,60,40
electrical engineers,90,10,10,30,25,20,10,5,60,40
electronic music fans,60,40,30,35,20,10,4,1,60,40
embroidery experts,20,80,10,20,20,20,15,15,60,40
artistic engravers,50,50,10,20,20,20,20,10,60,40
entertainers,50,50,20,30,20,15,10,5,60,40
aspiring entrepreneurs- business creation,60,40,20,30,25,15,7,3,65,35
equestrian enthusiasts,40,60,10,20,20,20,20,10,60,40
ethics thinkers,50,50,10,20,20,20,15,15,60,40
extreme sports junkies,70,30,20,30,25,15,7,3,60,40
fantasy sports players,80,20,20,30,25,15,7,3,60,40
farmers,70,30,5,10,15,20,25,25,50,50
farmers- moving site,70,30,5,15,20,25,20,15,40,60
fencing buffs,60,40,20,30,20,15,10,5,60,40
fiction readers,40,60,20,25,20,15,10,10,60,40
field hockey fans,50,50,20,25,20,15,10,10,60,40
fifa world cup fans,60,40,20,30,20,15,10,5,50,50
figure skating aficionados,40,60,20,25,20,15,10,10,60,40
fine art fans,40,60,10,20,15,15,20,20,60,40
first-person shooter gamers,85,15,35,30,20,10,4,1,60,40
pet fish owners,50,50,20,20,20,15,15,10,60,40
fishing fans- equipment,80,20,10,20,25,20,15,10,60,40
floral design aficionados,30,70,10,20,20,20,15,15,60,40
foodies,40,60,10,20,20,20,20,10,60,40
aspiring multi-linguists,50,50,20,30,20,15,10,5,60,40
education enthusiasts,40,60,10,20,20,20,15,15,60,40
investment enthusiasts- forex,70,30,10,30,25,20,10,5,60,40
freelance writers,40,60,10,30,20,15,15,10,60,40
freestyle football fans,70,30,35,30,20,10,3,2,50,50
savvy savers,40,60,10,20,20,20,20,10,60,40
fruit picking enthusiasts,50,50,10,20,20,20,15,15,60,40
furniture builders,70,30,10,20,20,20,20,10,60,40
online gamblers,65,35,20,30,20,15,10,5,60,40
gardening fans,40,60,5,10,15,20,25,25,60,40
reviewing outgoings- gas and electric,50,50,10,20,20,20,15,15,60,40
family history buffs,40,60,5,10,15,20,25,25,60,40
genetics scholars,50,50,20,30,20,15,10,5,80,20
geography enthusiasts,60,40,20,25,20,15,10,10,60,40
glassblowing gurus,60,40,5,15,20,25,20,15,60,40
gospel music fans,40,60,10,15,20,20,20,15,60,40
graffiti fans,60,40,30,35,20,10,4,1,50,50
graphic design fans,50,50,20,30,20,15,10,5,60,40
gymnastics admirers,40,60,20,25,20,15,10,10,60,40
handball buffs,60,40,20,30,20,15,10,5,60,40
fitness fans,50,50,20,30,20,15,10,5,60,40
health science buffs,40,60,20,30,20,15,10,5,60,40
healthy eaters,40,60,10,20,20,20,15,15,60,40
shooter game players,85,15,35,30,20,10,4,1,50,50
religious devotees- hinduism,50,50,15,20,20,15,15,15,60,40
hip hop music fans,60,40,30,35,20,10,4,1,50,50
healthy living- wellness,40,60,10,20,20,20,15,15,60,40
history book readers,50,50,10,15,20,20,20,15,60,40
history buffs,60,40,10,20,20,20,15,15,60,40
home design fans,30,70,10,20,20,20,15,15,60,40
hands on home renovators,70,30,10,20,30,20,15,5,60,40
homebrewing experts,75,25,5,20,30,25,15,5,60,40
horse racing lovers,70,30,10,15,20,20,20,15,60,40
horse owners,40,60,10,20,20,20,15,15,60,40
humor readers,50,50,20,20,15,15,15,15,60,40
hunting aficionados,85,15,10,20,25,20,15,10,50,50
ice hockey fans,60,40,20,25,20,15,10,10,50,50
ice skating enthusiasts,40,60,20,25,20,15,10,10,60,40
indie music fans,50,50,30,30,20,10,5,5,60,40
home design fans- interior design,30,70,10,20,20,20,20,10,60,40
aspiring inventors,70,30,10,30,25,20,10,5,60,40
ipl fans,70,30,25,35,20,10,5,5,60,40
jazz music fans,50,50,10,15,15,20,20,20,60,40
puzzle hobbyists- jigsaw puzzles,40,60,10,20,20,20,15,15,60,40
fitness fans- jogging,50,50,20,30,20,15,10,5,60,40
religious devotees- judaism,50,50,10,15,20,20,20,15,60,40
judo practitioners,65,35,30,25,20,15,7,3,50,50
juggling enthusiasts,60,40,20,30,20,15,10,5,60,40
fitness fans- jumping rope,50,50,20,30,25,15,5,5,60,40
kabaddi enthusiasts,70,30,20,30,20,15,10,5,50,50
karaoke singers,50,50,20,30,20,15,10,5,60,40
karate aficionados,70,30,20,30,20,15,10,5,50,50
karting enthusiasts,70,30,25,30,20,15,7,3,60,40
kayaking devotees,60,40,10,20,25,20,15,10,60,40
kite flying enthusiasts,60,40,20,25,20,15,10,10,60,40
kitesurfing aficionados,70,30,20,30,25,15,7,3,60,40
knitting virtuosos,20,80,5,10,15,20,25,25,60,40
precision timepiece crafters,85,15,5,20,25,20,20,10,80,20
lacoste fans,60,40,20,30,20,15,10,5,65,35
g-star fans,60,40,30,35,20,10,4,1,60,40
aldo fans,40,60,20,30,20,15,10,5,60,40
oakley fans,70,30,20,30,25,15,7,3,60,40
cole haan fans,40,60,10,20,25,20,15,10,60,40
jimmy choo fans,20,80,10,30,25,20,10,5,75,25
jaeger-le coultre fans,85,15,5,15,20,25,20,15,80,20
fossil fans,40,60,20,30,20,15,10,5,60,40
elie saab fans,20,80,20,30,20,15,10,5,75,25
patagonia fans,60,40,20,30,25,15,5,5,60,40
breguet fans,70,30,5,15,20,25,20,15,80,20
tag heuer fans,70,30,5,15,20,25,20,15,80,20
banana republic fans,40,60,10,30,25,20,10,5,75,25
desigual fans,30,70,20,30,25,15,5,5,60,40
swatch fans,50,50,20,30,20,15,10,5,60,40
cavalli fans,40,60,10,20,30,20,10,10,80,20
ted baker fans,40,60,20,30,20,15,10,5,75,25
givenchy fans,40,60,20,30,20,15,10,5,75,25
balenciaga fans,40,60,20,30,20,15,10,5,80,20
oscar de la renta fans,30,70,10,20,20,20,20,10,80,20
bvlgari fans,40,60,10,20,25,20,15,10,80,20
kenzo fans,40,60,20,30,20,15,10,5,65,35
moschino fans,40,60,20,30,20,15,10,5,75,25
goyard fans,40,60,10,30,25,20,10,5,80,20
kate spade fans,10,90,20,30,20,15,10,5,60,40
ermenegildo zegna fans,80,20,5,15,25,25,20,10,85,15
dkny fans,30,70,20,30,20,15,10,5,60,40
moynat fans,40,60,10,20,25,20,15,10,80,20
rimowa fans,50,50,10,20,30,20,10,10,80,20
patou fans,30,70,10,20,20,20,20,10,80,20
loro piana fans,40,60,5,15,20,25,20,15,80,20
celine fans,30,70,10,30,25,20,10,5,80,20
emilio pucci fans,20,80,10,20,25,20,15,10,80,20
marc jacobs fans,30,70,20,30,20,15,10,5,60,40
nicholas kirkwood fans,20,80,10,30,25,20,10,5,75,25
bottega veneta fans,40,60,10,20,20,20,20,10,80,20
miu miu fans,20,80,20,30,20,15,10,5,80,20
marni fans,30,70,10,30,25,20,10,5,80,20
missoni fans,30,70,10,20,20,20,20,10,80,20
franck muller fans,70,30,5,15,20,25,20,15,80,20
stella mccartney fans,20,80,15,30,25,15,10,5,75,25
balmain fans,40,60,20,30,20,15,10,5,75,25
jil sander fans,40,60,10,30,25,20,10,5,75,25
fila fans,60,40,30,25,20,10,10,5,50,50
thom browne fans,60,40,10,30,25,20,10,5,80,20
paco rabanne fans,40,60,10,20,20,20,20,10,75,25
margaret howell fans,40,60,10,20,25,20,15,10,75,25
alexander mcqueen fans,40,60,20,30,20,15,10,5,75,25
a.p.c. fans,40,60,20,30,20,15,10,5,75,25
claudie pierlot fans,20,80,15,30,25,15,10,5,60,40
iro fans,30,70,20,30,20,15,10,5,75,25
isabel marant fans,20,80,10,30,25,20,10,5,75,25
the kooples fans,40,60,20,30,20,15,10,5,75,25
lanvin fans,35,65,10,20,20,20,15,15,80,20
temperley london fans,20,80,10,30,25,20,10,5,75,25
christopher kane fans,30,70,20,30,20,15,10,5,75,25
alexander wang fans,40,60,20,30,20,15,10,5,75,25
jazzy sock fans,60,40,20,30,20,15,10,5,60,40
swimwear fans,40,60,20,30,20,15,10,5,60,40
3d graphic designers,70,30,20,40,25,10,5,0,60,40
safety minded- antivirus & cyber security,60,40,10,20,20,20,20,10,60,40
app obsessed,60,40,30,35,20,10,4,1,75,25
ai experts,75,25,5,35,30,20,7,3,85,15
augmented reality interested,70,30,20,30,25,15,5,5,60,40
aspiring filmmakers- hardware,60,40,25,35,20,10,5,5,60,40
photography fans- camera tech,60,40,10,20,20,20,20,10,60,40
software experts- cloud computing,70,30,10,30,25,20,10,5,60,40
software experts- collaboration & conferencing tools,70,30,10,30,25,20,10,5,60,40
aspiring animators- software,60,40,30,40,20,5,3,2,65,35
tech enthusiasts- computer memory & storage,80,20,20,30,25,15,5,5,60,40
tech enthusiasts- computer monitors,70,30,20,30,20,15,10,5,60,40
tech enthusiasts- computer networking,80,20,20,30,25,15,7,3,60,40
tech enthusiasts- computer processors,85,15,20,35,25,10,5,5,60,40
tech enthusiasts- computer servers,85,15,10,30,25,20,10,5,60,40
business decision makers- cdps,60,40,5,20,30,25,15,5,80,20
software experts- databases,70,30,5,30,25,20,15,5,60,40
tech enthusiasts- desktops,75,25,20,30,20,15,10,5,60,40
tech enthusiasts- digital audio,70,30,20,30,20,15,10,5,60,40
software experts- domain registration,70,30,10,30,25,20,10,5,60,40
reading fans- e-book tech,50,50,10,20,20,15,20,15,60,40
software experts- email,70,30,5,20,25,20,20,10,60,40
software experts- enterprise software,70,30,5,20,30,25,15,5,80,20
software experts- free software,80,20,20,30,25,15,7,3,60,40
console gamers,60,40,30,35,20,10,4,1,60,40
google fans,60,40,20,30,20,15,10,5,65,35
tech enthusiasts- gps devices,70,30,10,20,30,20,10,10,60,40
tech enthusiasts- hard drives,70,30,10,30,25,20,10,5,60,40
music fans- headphones and hardware,70,30,20,30,20,15,10,5,60,40
huawei fans,60,40,20,30,20,15,10,5,60,40
apple fans,60,40,20,30,20,15,10,5,75,25
business decision makers- it support,70,30,5,15,25,25,20,10,60,40
tech enthusiasts- laptops,70,30,20,30,25,15,7,3,60,40
lenovo fans,60,40,20,30,20,15,10,5,60,40
mobile enthusiasts- accessories,60,40,20,30,20,15,10,5,60,40
mobile enthusiasts,70,30,20,30,25,15,7,3,60,40
business decision makers- network equipment & virtualization,70,30,5,15,25,25,20,10,60,40
business decision makers- network storage,70,30,5,15,25,25,20,10,80,20
nokia fans,70,30,10,20,30,20,10,10,60,40
oneplus fans,70,30,20,30,20,15,10,5,60,40
oppo fans,60,40,30,35,20,10,3,2,50,50
photography fans- photo software,60,40,20,30,20,15,10,5,60,40
tech enthusiasts- portable media players,70,30,20,30,20,15,10,5,60,40
coding & programming experts,80,20,20,40,25,10,4,1,75,25
home tech enthusiasts- projectors,70,30,10,30,25,20,10,5,60,40
mexico interested,50,50,20,30,20,15,10,5,60,40
samsung fans,60,40,20,30,20,15,10,5,60,40
social media enthusiasts,50,50,30,25,20,10,10,5,60,40
sony fans,70,30,20,30,20,15,10,5,60,40
playstation fans,70,30,30,35,20,10,4,1,50,50
home tech enthusiasts- speakers,70,30,10,20,30,20,10,10,60,40
aspiring filmmakers- editing,60,40,30,40,15,10,5,0,60,40
business decision makers- web conferencing,60,40,5,20,30,20,15,10,75,25
adventure travellers,60,40,20,30,25,15,7,3,65,35
distance travellers,50,50,20,30,20,15,10,5,60,40
outdoor adventurers- beaches,50,50,20,30,20,15,10,5,60,40
business travellers,65,35,5,20,30,25,15,5,80,20
road trippers,60,40,20,30,20,15,10,5,60,40
cruises interested,40,60,5,10,15,20,25,25,60,40
rail travellers,60,40,10,15,20,20,20,15,60,40
south america interested,50,50,20,30,20,15,10,5,60,40
africa interested,40,60,20,30,20,15,10,5,60,40
asia interested,50,50,20,30,20,15,10,5,60,40
australia interested,50,50,20,25,20,15,10,10,60,40
brazil interested,50,50,20,30,20,15,10,5,60,40
brussels interested,50,50,20,30,20,15,10,5,60,40
buenos aires interested,50,50,20,30,20,15,10,5,60,40
canada interested,50,50,20,30,20,15,10,5,60,40
china interested,50,50,20,30,20,15,10,5,60,40
croatia interested,45,55,15,25,20,15,15,10,70,30
denmark interested,50,50,15,25,20,15,15,10,60,40
doha interested,50,50,20,30,20,15,10,5,60,40
europe interested,45,55,15,25,20,15,15,10,70,30
germany interested,50,50,20,25,20,15,10,10,60,40
france interested,40,60,20,30,20,15,10,5,60,40
helsinki interested,45,55,15,25,20,15,15,10,70,30
hong kong interested,50,50,20,30,20,10,10,10,60,40
hungary interested,50,50,10,20,20,15,20,15,60,40
iceland interested,50,50,20,30,20,15,10,5,60,40
india interested,50,50,20,30,20,15,10,5,60,40
indonesia interested,50,50,20,30,20,15,10,5,60,40
italy interested,40,60,20,30,20,15,10,5,60,40
japan interested,50,50,20,30,20,15,10,5,60,40
jeddah interested,50,50,20,30,20,15,10,5,60,40
jordan interested,50,50,20,30,20,15,10,5,60,40
kenya interested,50,50,20,30,20,15,10,5,60,40
kiev interested,50,50,20,30,20,15,10,5,60,40
kuwait interested,50,50,20,30,20,15,10,5,60,40
latin america interested,50,50,20,30,20,15,10,5,60,40
lebanon interested,50,50,20,30,20,15,10,5,60,40
lima interested,50,50,20,30,20,15,10,5,60,40
malaysia interested,50,50,20,30,20,15,10,5,60,40
morocco interested,40,60,20,30,20,15,10,5,60,40
nepal interested,50,50,20,30,20,15,10,5,60,40
new zealand interested,50,50,20,30,20,15,10,5,60,40
north america interested,50,50,20,30,20,15,10,5,60,40
oslo interested,45,55,20,30,20,15,10,5,60,40
panama interested,50,50,15,25,20,15,15,10,60,40
poland interested,50,50,20,30,20,15,10,5,60,40
catch-up tv buffs,40,60,20,30,20,15,10,5,60,40
livestreaming devotees,60,40,30,35,20,10,4,1,60,40
music streamers & spotify loyalists,50,50,30,30,20,10,5,5,60,40
ott show binge-watchers,50,50,20,30,20,15,10,5,60,40
crime and mystery film fans,50,50,10,20,20,20,15,15,60,40
family film fans,45,55,15,20,20,15,15,15,60,40
south asian film fans,50,50,20,30,20,15,10,5,60,40
business news radio audience,60,40,5,15,20,25,20,15,75,25
educational radio listeners,50,50,10,15,20,20,20,15,60,40
news/talk radio audience,60,40,5,10,15,20,25,25,60,40
oldies music fans,45,55,5,10,15,20,25,25,60,40
historical fiction shows fans,40,60,10,20,20,20,20,10,60,40
children show fans,50,50,20,20,20,15,15,10,60,40
crime & detective show fans,45,55,10,20,20,20,15,15,60,40
family show fans,45,55,10,15,20,20,20,15,60,40
holiday show fans,40,60,10,20,15,20,20,15,60,40
horror show fans,50,50,20,30,20,15,10,5,60,40
music show fans,45,55,20,25,20,15,10,10,60,40
sci-fi & fantasy show fans,60,40,20,30,20,15,10,5,60,40
car tech fans- infotainment,70,30,10,20,30,20,10,10,60,40
car feature upgraders- interior parts,80,20,10,30,25,20,10,5,60,40
car fixers & upgraders- electrics,80,20,10,20,25,20,15,10,60,40
budget car buyers,50,50,20,30,20,15,10,5,60,40
pre-owned car buyers,60,40,10,20,25,20,15,10,50,50
diesel car buyers,70,30,10,20,25,20,15,10,60,40
driverless car buyers,60,40,10,30,25,20,10,5,75,25
electric & hybrid cars,70,30,5,15,20,20,20,20,60,40
performance car buyers,80,20,10,20,30,20,15,5,75,25
business movers,60,40,5,20,30,25,15,5,75,25
compact car owners,50,50,20,30,20,15,10,5,60,40
coupe owners,60,40,20,30,20,15,10,5,60,40
microcar owners,40,60,10,30,20,15,15,10,60,40
minivan owners,40,60,5,15,25,25,20,10,60,40
off-road owners,80,20,10,20,30,20,15,5,60,40
baby & toddler entertainment,40,60,10,20,30,20,10,10,60,40
baby & toddler food,20,80,5,30,35,20,5,5,60,40
baby & toddler food,20,80,5,30,40,15,5,5,60,40
bath & body product prioritisers,30,70,10,20,20,20,15,15,60,40
budget bath & body product prioritisers,40,60,20,30,20,15,10,5,50,50
luxury bath & body product prioritisers,40,60,10,20,20,20,20,10,80,20
everyday bath & body product prioritisers,40,60,10,20,20,20,15,15,60,40
male deodorant and antiperspirant intenders,100,0,20,30,25,15,7,3,60,40
fragrance fans,40,60,10,20,20,20,15,15,60,40
luxury fragrance product prioritisers,40,60,10,20,20,20,15,15,75,25
everyday fragrance product prioritisers,40,60,20,30,20,15,10,5,60,40
budget makeup & cosmetic product prioritisers,10,90,30,35,20,10,4,1,50,50
luxury makeup & cosmetic product prioritisers,10,90,10,30,25,20,10,5,80,20
everyday makeup & cosmetic product prioritisers,10,90,20,30,20,15,10,5,60,40
female shavers,0,100,20,30,20,15,10,5,60,40
skin care product fans,30,70,20,30,20,15,10,5,60,40
budget skin care product prioritisers,30,70,20,30,20,15,10,5,60,40
everyday skin care product prioritisers,30,70,20,30,20,15,10,5,60,40
career guidance seekers,50,50,20,30,20,15,10,5,60,40
career pathway planners,40,60,10,30,25,20,10,5,75,25
job fair attendees,50,50,20,30,20,15,10,5,60,40
remote work advocates,50,50,10,30,25,20,10,5,60,40
skills-based training supporters,50,50,10,20,20,20,15,15,60,40
dieters- food supplements,40,60,10,20,20,20,20,10,60,40
fitness fans - protein & supplement users,70,30,20,30,25,15,7,3,60,40
cosmetologists,10,90,20,30,25,15,7,3,60,40
aspiring international studiers,40,60,50,30,10,5,3,2,60,40
aspiring financial professionals,60,40,20,30,25,15,7,3,75,25
career consulting enthusiasts,50,50,10,20,20,20,15,15,60,40
administrative role seekers,40,60,10,20,20,20,20,10,60,40
education sector hopefuls,40,60,20,30,20,15,10,5,60,40
future executives & managers,60,40,10,30,25,20,10,5,75,25
public sector professionals in the making,45,55,20,30,20,15,10,5,60,40
healthcare career pursuers,30,70,20,30,20,15,10,5,60,40
internship hunters,50,50,70,25,5,0,0,0,60,40
tech role aspirants,70,30,30,40,20,7,2,1,60,40
budding legal professionals,50,50,30,40,20,5,3,2,75,25
retail role enthusiasts,40,60,20,30,20,15,10,5,60,40
sales & marketing prospects,50,50,10,20,20,20,15,15,60,40
seasonal job searchers,50,50,30,25,20,10,10,5,60,40
dating,48,52,20,30,20,15,10,5,60,40
pre-school families,50,50,5,40,45,10,0,0,60,40
comfortable retirement,45,55,0,0,0,10,30,60,75,25
crime/detective readers,40,60,10,20,20,20,15,15,60,40
fantasy readers,40,60,20,30,20,15,10,5,60,40
folktale readers,40,60,10,20,20,20,15,15,60,40
historical fiction readers,40,60,10,15,20,20,20,15,60,40
swashbuckler readers,60,40,10,20,20,20,20,10,50,50
theological fiction readers,40,60,10,15,20,20,20,15,60,40
on the shopping list- distilled beverages,60,40,10,20,25,20,15,10,60,40
cocktail mixologists,60,40,20,30,25,15,7,3,65,35
cooking enthusiasts- recipe inspiration,40,60,10,20,20,20,15,15,60,40
christmas preppers,40,60,10,20,20,20,15,15,60,40
special day preparation- photography,40,60,10,30,25,15,10,10,60,40
special day preparation- even planning,30,70,10,30,20,15,15,10,60,40
