Cohort,Attribute
business strategists,im - business and finance books
business strategists,im - business economics books
business strategists,ls - b2b - amazon business - high revenue
business strategists,ls - b2b - amazon business - business with 11-50 employees
business strategists,ls - b2b - amazon business - business products and services business
business strategists,ls - b2b - amazon business - business with more than 50 employees
business strategists,im - business and office software
business strategists,ls - b2b - amazon business - business members
business strategists,ls - b2b - amazon business - consumer products and services business
business suppliers,im - desk supplies organisers & dispensers
business suppliers,im - printers & accessories
business suppliers,im - office electronics
business suppliers,im - presentation supplies
business suppliers,im - educational supplies
business suppliers,im - webcams & voip equipment
business suppliers,im - printers
business suppliers,im - office ceiling lights
business suppliers,im - laser printers
business suppliers,im - scanners & accessories
business suppliers,im - scanners
business suppliers,im - business and office software
business suppliers,im - commercial restroom fixtures
business suppliers,im - computer scanners
business suppliers,"im - memo pads, notepads & scratch pads"
business travellers,im - laptop messenger & shoulder bags
business travellers,im - laptop briefcases
butterfly observers,im - wildlife gardening books
butterfly observers,im - birdwatching books
bvlgari fans,ls - premium shoppers of fashion (uk)
bvlgari fans,"im - luxury watches, loose gemstones & diamonds"
c&a fans,im - children's apparel
c&a fans,ls - discount shoppers of fashion (uk)
caffeine addicts,ls - coffee lovers
caffeine addicts,im - coffee machines
caffeine addicts,"im - coffee, tea and beverages"
caffeine addicts,im - coffee
caffeine addicts,im - hot chocolate & malted drinks
caffeine addicts,im - hot chocolate
caffeine addicts,im - single-serve coffee capsules & pods
caffeine addicts,im - energy drinks
caffeine addicts,im - coffee capsule machines
caffeine addicts,im - coffee capsules
caffeine addicts,im - coffee gifts
calvin klein fans,ls - premium shoppers of fashion (uk)
calvin klein fans,im - men's fashion
camper van fans,im - camping lights & lanterns
camper van fans,im - camping awnings
canoeing enthusiasts,im - kayak hardware
canoeing enthusiasts,im - kayaks
canyoning adventurers,im - camping & hiking hydration products
canyoning adventurers,im - camping & hiking water storage
canyoning adventurers,IM - Extreme Sports Books
capital raisers,im - professional finance books
capital raisers,"ls - b2b - amazon business - finance, insurance and real estate business"
car design fixers & upgraders- car parts,im - automotive parts and accessories
car design fixers & upgraders- car parts,im - car accessories
car design fixers & upgraders- car parts,im - car parts
car design fixers & upgraders- car parts,im - car windscreen sunshades
car design fixers & upgraders- car parts,im - wheel trims
car feature upgraders- interior parts,im - automotive parts and accessories
car feature upgraders- interior parts,im - car accessories
car feature upgraders- interior parts,im - car parts
car feature upgraders- interior parts,im - car interior fittings
car feature upgraders- interior parts,im - mobile phone car accessories
car feature upgraders- interior parts,im - mobile phone car cradles
car feature upgraders- interior parts,im - car seat accessories
car feature upgraders- interior parts,im - car armrests
car feature upgraders- interior parts,im - car batteries & accessories
car feature upgraders- interior parts,im - car drink holders
car fixers & upgraders- electrics,im - electrical power accessories
car fixers & upgraders- electrics,im - car & vehicle electronics
car fixers & upgraders- electrics,im - car electronics
car fixers & upgraders- electrics,"im - car lights, bulbs & indicators"
car fixers & upgraders- electrics,im - electrical cable & wire management
car fixers & upgraders- electrics,im - car & vehicle electronics accessories
car fixers & upgraders- electrics,im - car audio power inverters
car fixers & upgraders- electrics,im - car batteries & accessories
car fixing & building enthusiasts,im - car parts
car fixing & building enthusiasts,im - car & motorbike care
car fixing & building enthusiasts,im - car tools & equipment
car fixing & building enthusiasts,im - spanners & wrenches
car fixing & building enthusiasts,im - car engine cooling & heating parts
car fixing & building enthusiasts,im - wheel trims
car performance upgraders- engines,im - car tools & equipment
car performance upgraders- engines,im - car batteries & accessories
car performance upgraders- engines,im - car engine cooling & heating parts
car performance upgraders- engines,im - wheel trims
car restoration enthusiasts,im - car accessories
car restoration enthusiasts,im - car parts
car restoration enthusiasts,im - car & motorbike care
car restoration enthusiasts,ls - b2b - amazon business - automotive business
car tech fans- infotainment,im - mobile phone car accessories
car tech fans- infotainment,im - mobile phone car cradles
car tech fans- infotainment,im - car audio & video accessories
car tech fans- infotainment,im - car video
car tech fans- infotainment,im - car stereos
car tech fans- infotainment,im - bluetooth car kits
car tuning enthusiasts,im - car & motorbike care
car tuning enthusiasts,im - car tools & equipment
car tuning enthusiasts,im - car engine cooling & heating parts
car tuning enthusiasts,im - wheel trims
card games players,im - card games
card games players,im - dedicated deck card games
card games players,"im - board, card and casino games"
card games players,im - traditional tabletop games
card games players,im - board game apps
card games players,ls - interested in app  - games: cards
card games players,im - trading card albums
card games players,im - board games
card games players,im - trading cards & accessories
career consulting enthusiasts,im - business careers books
career guidance seekers,im - business careers books
career pathway planners,im - business careers books
career starters,im - business careers books
cars and motoring show fans,ls - car fans
cars and motoring show fans,im - formula 1 books and dvds
cartier fans,im - women's watches
cartier fans,im - jewelry boxes & organisers
cartier fans,im - body jewellery
cartier fans,im - women's wrist watches
cartier fans,im - jewellery pouches
cartier fans,im - women's pocket & fob watches
cartier fans,"im - luxury watches, loose gemstones & diamonds"
cartier fans,im - watches
casual gamers,im - apps & games
casual gamers,ls - interested in app  - games: arcade
casual gamers,ls - frequent shoppers - games
casual gamers,im - entertainment apps
casual gamers,im - kids' apps & games
casual gamers,im - board game apps
casual gamers,ls - interested in app  - puzzles & trivia
cat owners,ls - similar to cat owners
cat owners,im - cat toys
cat owners,im - cat food
cat owners,im - cat supplies
cat owners,"im - cat beds, bedding & furniture"
cat owners,ls - new cat product explorers (pome)
cat owners,im - cat beds
cat owners,im - drinking fountains for cats
cat owners,ls - new cat product shoppers (pome)
cat owners,im - cat carriers & travel products
catch-up tv buffs,ls - tv and movies enthusiasts
catch-up tv buffs,ls - interested in imdb current most popular and trending tv shows
catch-up tv buffs,ls - interested in imdb most popular and trending movies
catch-up tv buffs,ls - interested in subscription video on demand (svod) streaming
catch-up tv buffs,im - media streaming clients
catch-up tv buffs,ls - amazon video tv fans
catch-up tv buffs,im - movies & tv
catch-up tv buffs,ls - interested in tv series
catch-up tv buffs,ls - tv and box set fans
catch-up tv buffs,im - tv shows
catch-up tv buffs,ls - interested in prime video epg movies & tv shows
cavalli fans,ls - premium shoppers of fashion (uk)
cave explorers,im - extreme sports books
celebrity followers,ls - interested in imdb popular / trending film celebrities
ceos,im - business management books
ceos,ls - b2b - amazon business - high revenue
ceos,ls - b2b - amazon business - very high revenue
ceos,ls - b2b - amazon business - business products and services business
ceos,ls - b2b - amazon business - business with more than 50 employees
ceos,ls - b2b - business owners
ceramic fans,"im - handmade cups, mugs & saucers"
ceramic fans,im - handmade mugs
ceramic fans,im - handmade tableware
ceramic fans,im - handmade kitchen & dining
champions league fans,im - men's football boots
champions league fans,im - men's football clothing
chanel fans,ls - premium shoppers of fashion (uk)
chanel fans,im - women's fashion
chanel fans,im - women's handbags
chanel fans,im - women's hobos and shoulder bags
chanel fans,im - women's top-handle bags
chat show fans,ls - interested in prime video unscripted movies & tv shows
chat show fans,ls - interested in imdb talk-show movies & tv shows
chat show fans,ls - comedy tv show fans
chat show fans,ls - interested in prime video talk show and variety movies & tv shows
chat show fans,im - music and entertainment tv shows
checkers players,"im - board, card and casino games"
checkers players,im - brain & puzzle games
checkers players,im - indoor games books
chefs and food producers,im - food reference & gastronomy books
chefs and food producers,im - food & drink
chefs and food producers,im - food & drink encyclopaedias & dictionaries books
chefs and food producers,im - gourmet food & drink books
chefs and food producers,ls - b2b - amazon business - food services and hospitality business
chemistry enthusiasts,ls - popular science book shoppers
chemistry enthusiasts,im - popular science books
chemistry enthusiasts,im - a-levels chemistry books
chess players,im - brain & puzzle games
chess players,im - chess
child fashion,im - parenting products
child fashion,im - baby products
child fashion,im - children's apparel
child fashion,im - children's products between 9 and 11 years
child fashion,im - children's products between 3 and 5 years
child fashion,im - children's products between 6 and 8 years old
children show fans,ls - interested in prime video kids movies & tv shows
children show fans,ls - interested in g rated movies & tv shows (mpaa maturity rating)
children show fans,"im - tv, movie & video game adaptations for children books"
children show fans,im - children's film and tv
children show fans,im - movie & tv streaming for kids
children show fans,im - children's tv shows
children's clothing fans,im - children's apparel
children's clothing fans,im - boys clothing
children's clothing fans,im - boys' pyjama sets
children's clothing fans,im - boys' hoodies
children's clothing fans,im - boys' sleepwear & robes
children's clothing fans,im - children's products between 9 and 11 years
children's clothing fans,im - children's products between 3 and 5 years
children's clothing fans,im - children's products between 6 and 8 years old
children's clothing fans,im - girls' sleepwear & robes
children's clothing fans,im - boys' hoodies & sweatshirts
children's clothing fans,im - girls' jumpers
children's clothing fans,im - girls' knitwear
children's clothing fans,im - girls' raincoats
children's clothing fans,im - girl's robes
children's clothing fans,im - boys' activewear sets
children's clothing fans,im - boys' trousers
children's clothing fans,im - boys' raincoats
children's clothing fans,"im - boys' coats, jackets & gilets"
children's clothing fans,im - boys' knitwear
children's clothing fans,im - girls' pyjama sets
children's clothing fans,im - girls' socks
chopard fans,im - women's watches
chopard fans,im - women's wrist watches
chopard fans,im - watch boxes
chopard fans,im - women's pocket & fob watches
chopard fans,"im - luxury watches, loose gemstones & diamonds"
chopard fans,im - watches
chow tai fook fans,im - jewelry boxes & organisers
christian dior fans,ls - premium shoppers of fashion (uk)
christian dior fans,im - luxury beauty products
christian louboutin fans,ls - premium shoppers of fashion (uk)
christian louboutin fans,im - men's fashion
christian louboutin fans,im - women's fashion
christmas preppers,ls - christmas product shoppers
christmas preppers,im - string lights
christmas preppers,im - gift cards
christmas preppers,im - gift cards & gift vouchers
christmas preppers,im - gift wrapping supplies
christmas preppers,ls - holiday music enthusiasts
christmas preppers,im - children's books on holidays & celebrations
christmas preppers,im - children's books on christmas
christmas preppers,ls - christmas album shoppers
christmas preppers,im - festive & seasonal dishes books
christmas preppers,im - gift boxes
christmas preppers,im - gift wrapping paper
christmas preppers,im - toy advent calendars
christmas preppers,ls - gift givers in video games
christopher kane fans,ls - premium shoppers of fashion (uk)
christopher kane fans,im - men's fashion
cinema goers & film lovers,ls - film buffs
cinema goers & film lovers,ls - film fans
cinema goers & film lovers,im - cinema & film books
cinema goers & film lovers,im - movies & tv
cinema goers & film lovers,im - film and tv products
cinema goers & film lovers,ls - drama film fans
cinema goers & film lovers,ls - interested in oscars ( academy awards ) in imdb
cinema goers & film lovers,ls - classic film fans
cinema goers & film lovers,im - on-demand movie streaming
cinema goers & film lovers,im - classic films
cinema goers & film lovers- cinema visitors,ls - film buffs
cinema goers & film lovers- cinema visitors,ls - indie and arthouse film fans
cinema goers & film lovers- cinema visitors,ls - tv and movies enthusiasts
cinema goers & film lovers- cinema visitors,ls - interested in a24 films
cinema goers & film lovers- cinema visitors,ls - interested in imdb marvel movies & tv shows
cinema goers & film lovers- cinema visitors,ls - film fans
cinema goers & film lovers- cinema visitors,im - cinema & film books
cinema goers & film lovers- cinema visitors,ls - classic film fans
cinema goers & film lovers- cinema visitors,ls - favorite streaming genre - arthouse
cinema goers & film lovers- cinema visitors,ls - 3d movie fans
cinema goers & film lovers- dvds and videos,ls - tv and movies enthusiasts
cinema goers & film lovers- dvds and videos,im - dvd & blu-ray - film and tv shows
cinema goers & film lovers- dvds and videos,ls - interested in a24 films
cinema goers & film lovers- dvds and videos,im - blu ray videos
cinema goers & film lovers- dvds and videos,im - blu-ray tv and films
cinema goers & film lovers- dvds and videos,im - film and tv products
cinema goers & film lovers- dvds and videos,im - dvd and blu-rays
cinema goers & film lovers- dvds and videos,im - blu-ray players
cinema goers & film lovers- dvds and videos,im - tv shows on dvd and blu-ray
cinema goers & film lovers- dvds and videos,im - drama on dvd and blu-ray
cinema goers & film lovers- film lovers,ls - film buffs
cinema goers & film lovers- film lovers,ls - indie and arthouse film fans
cinema goers & film lovers- film lovers,ls - interested in british academy film awards (bafta) in imdb
cinema goers & film lovers- film lovers,ls - interested in imdb indie movies & tv shows
cinema goers & film lovers- film lovers,ls - interested in a24 films
cinema goers & film lovers- film lovers,ls - interested in emmy awards in imdb
cinema goers & film lovers- film lovers,ls - film fans
cinema goers & film lovers- film lovers,im - cinema & film books
cinema goers & film lovers- film lovers,ls - drama film fans
cinema goers & film lovers- film lovers,ls - interested in oscars ( academy awards ) in imdb
cinema goers & film lovers- film lovers,ls - classic film fans
cinema goers & film lovers- film lovers,ls - interested in cannes film festival in imdb
cinema goers & film lovers- film lovers,im - classic films
cinema goers & film lovers- film lovers,ls - interested in imdb film-noir movies & tv shows
cinema goers & film lovers- film lovers,im - music films
citroen fans,ls - citroen owners
citroen fans,ls - citroen owners eu
city breakers,ls - uk international travelers (all)
city breakers,im - travel and holiday books
city breakers,im - travel & tourism books
city breakers,im - travel books
city breakers,im - tourist destinations & museum guides books
civil engineers,im - engineering & technology books
classic car buyers,ls - oldtimer owners (30+ years)
classic rock fans,im - pop rock music
classic rock fans,im - classic british rock music
classic rock fans,ls - hard rock and metal music fans
classic rock fans,im - rock music
classic rock fans,ls - music icon fans
classic rock fans,ls - rock music enthusiasts
classical music fans,ls - classical music fans
classical music fans,im - classical music
classical music fans,im - opera singer biographies books
classical music fans,im - piano & keyboard
claudie pierlot fans,im - women's fashion
clinical medicine scholars,im - medical books
clinical medicine scholars,im - medicine & health sciences textbooks
clinical medicine scholars,im - medicine books
clinical medicine scholars,im - medicine textbooks
clinical medicine scholars,im - healthcare products
cocktail mixologists,im - spirits
cocktail mixologists,ls - gin spirits
cocktail mixologists,ls - rum spirits
cocktail mixologists,"im - beer, wine and spirits"
cocktail mixologists,im - liqueurs
cocktail mixologists,im - whisky
cocktail mixologists,im - rum
cocktail mixologists,im - gin
cocktail mixologists,im - vodka
cocktail mixologists,im - pre-mixed and ready to drink
cocktail mixologists,im - flavoured vodka
cocktail mixologists,im - drinks & beverages books
cocktail mixologists,im - cognac
cocktail mixologists,im - spirits over ?30
cocktail mixologists,im - tequila
cocktail mixologists,im - bitters
coding & programming experts,ls - similar to computing professionals
coding & programming experts,im - software
coffee connoisseurs- coffee maker & espresso machine accessories,ls - coffee lovers
coffee connoisseurs- coffee maker & espresso machine accessories,im - coffee machines
coffee connoisseurs- coffee maker & espresso machine accessories,im - single-serve coffee capsules & pods
coffee connoisseurs- coffee maker & espresso machine accessories,im - coffee capsule machines
coin collectors,im - collectible figures & memorabilia
cole haan fans,ls - premium shoppers of fashion (uk)
cole haan fans,im - men's fashion
combat sports admirers,ls - wresting fans
combat sports admirers,im - wrestling and martial arts films
combat sports admirers,im - boxing equipment
combat sports admirers,ls - wresting and martial arts fans
comedy fans,"ls -frequent streamers of drama, romance, comedy & musicals"
comedy fans,ls - interested in imdb comedy movies & tv shows
comedy fans,im - adult animated comedy shows
comedy fans,ls - favorite streaming genre - comedy
comedy fans,ls - interested in prime video comedy movies & tv shows
comedy fans,ls - british comedy fans
comedy fans,ls - comedy fans
comedy fans,ls - comedy tv show fans
comedy fans,im - comedy tv shows
comedy film fans,"ls -frequent streamers of drama, romance, comedy & musicals"
comedy film fans,ls - interested in imdb comedy movies & tv shows
comedy film fans,ls - favorite streaming genre - comedy
comedy film fans,ls - interested in prime video comedy movies & tv shows
comedy film fans,ls - comedy fans
comedy film fans,ls - comedy film fans
comedy film fans,ls - comedy and romantic comedy
comedy film fans,im - comedy films
comic book collectors,ls - comic book and graphic novel fans
comic book collectors,ls - comic book fans
comic book collectors,im - comics & graphic novels books
comic book collectors,im - comics & graphic novels by genre books
comic book collectors,im - super-hero graphic novels books
comic book collectors,im - comics & graphic novels for young adults books
comic book collectors,ls - interested in app - books & comics
comic book collectors,im - comics with media tie-ins for children
communication & pr specialists,im - communication studies books
communication & pr specialists,im - media & communication industries books
communication experts,im - communication studies books
communication experts,im - media & communication industries books
community activists,"im - society, politics and philosophy books"
community activists,im - government & politics books
compact car owners,ls - supermini owners
compact car owners,ls - small family car owners
company changers,ls - b2b - amazon business - it business
computer game makers,im - digital video games
computer investors,im - hardware
computer investors,im - premium tech products
computer investors,im - pc gaming keyboards
computer investors,im - desktop computers
computer investors,im - graphics cards
computer investors,im - pc gaming mice
computer investors,ls -?memory card - new to category browsers
computer investors,im - desktops
computer investors,im - laptop components & replacement parts
computer investors,im - premium laptops
computer investors,im - gaming monitors
computer investors,im - gaming mouse pads
computer investors,im - pc headsets
computer investors,im - pc headsets & headphones
computer investors,im - premium tablet computers
computer programmers,im - software
computer programmers,im - computer software
console gamers,ls - interested in video games
console gamers,im - video game accessories
console gamers,im - video games
console gamers,im - triple a video games
console gamers,ls - console gamers
console gamers,"im - playstation 5 consoles, games & accessories"
console gamers,ls - video game consoles & accessories  - new to category browsers
console gamers,"im - nintendo switch consoles, games & accessories"
console gamers,ls - xbox series x & s fans
console gamers,"im - playstation 4 consoles, games & accessories"
console gamers,"im - xbox series x & s consoles, games & accessories"
console gamers,im - nintendo switch accessories
console gamers,im - nintendo switch games
console gamers,im - playstation 5 accessories
console gamers,im - playstation 5 games
console gamers,"im - xbox one consoles, games & accessories"
console gamers,im - xbox series x & s accessories
console gamers,im - playstation 4 accessories
console gamers,ls - frequent shoppers - games
console gamers,im - xbox one accessories
console gamers,im - playstation 4 games
console gamers,im - xbox series x & s games
console gamers,im - nintendo switch controllers
console gamers,im - xbox one games
console gamers,im - xbox one headsets & headphones
console gamers,im - xbox one controllers
console gamers,im - children's video games
console gamers,"im - game boy advance consoles, games & accessories"
console gamers,im - digital video games
console gamers,im - gaming consoles
console gamers,im - nintendo switch consoles
console gamers,"im - playstation 3 consoles, games & accessories"
console gamers,im - playstation 5 consoles
console gamers,"im - playstation consoles, games & accessories"
console gamers,"im - wii consoles, games & accessories"
console gamers,im - xbox series x & s consoles
constantly occupied,im - calendars & personal organisers
constantly occupied,im - appointment books & planners
constantly occupied,im - personal organisers
constantly occupied,ls - interested in app  - productivity
constantly occupied,"im - memo pads, notepads & scratch pads"
consulting gurus,im - business careers books
consumer goods suppliers,ls - b2b - amazon business - consumer products and services business
consumer services suppliers,"ls - b2b - amazon business - transportation, communications, electric, gas and sanitary service"
consumer services suppliers,im - commercial restroom fixtures
consumer services suppliers,ls - b2b - amazon business - food services and hospitality business
container design & manufacturing experts,im - mailers
container design & manufacturing experts,im - universal adhesives
convenience seekers,ls - online grocery shoppers
convenience seekers,ls - frustration free packaging shoppers
convenience seekers,ls - prime pantry lookalikes
convenience seekers,ls - frustration free packaging shoppers high frequency
convenience seekers,im - on-demand movie streaming
convenience seekers,ls - browsers of amazon.co.uk on iphone
convertible owners,ls - coupe owners
convertible owners,ls - convertible owners
convertible owners,ls - premium vehicle owners
cookbook readers,ls - home cooking enthusiasts
cookbook readers,ls - foodies
cookbook readers,"im - cookbooks, food & wine"
cookbook readers,im - food and drink books
cookbook readers,im - food reference & gastronomy books
cookbook readers,im - festive & seasonal dishes books
cookbook readers,im - cooking for special occasions
cookbook readers,im - european cooking
cookbook readers,im - food & drink encyclopaedias & dictionaries books
cookbook readers,im - mediterranean food & drink books
cookbook readers,im - italian food & drink books
cookbook readers,im - gourmet food & drink books
cookbook readers,im - french food & drink books
cookbook readers,im - middle eastern food & drink books
cookbook readers,im - british food & drink books
cookbook readers,im - indian food & drink books
cooking enthusiasts,ls - home cooking enthusiasts
cooking enthusiasts,ls - foodies
cooking enthusiasts,ls - kitchen gadget fans
cooking enthusiasts,"im - cookbooks, food & wine"
cooking enthusiasts,im - food and drink books
cooking enthusiasts,im - food reference & gastronomy books
cooking enthusiasts,im - festive & seasonal dishes books
cooking enthusiasts,im - cooking for special occasions
cooking enthusiasts,im - european cooking
cooking enthusiasts,im - mediterranean food & drink books
cooking enthusiasts,im - italian food & drink books
cooking enthusiasts,im - gourmet food & drink books
cooking enthusiasts,im - british food & drink books
cooking enthusiasts- breadmaking equipment,im - baking enthusiasts
cooking enthusiasts- breadmaking equipment,im - baking supplies
cooking enthusiasts- cookware & bakeware,ls - home cooking enthusiasts
cooking enthusiasts- cookware & bakeware,ls - kitchen gadget fans
cooking enthusiasts- cookware & bakeware,im - baking enthusiasts
cooking enthusiasts- cookware & bakeware,im - baking supplies
cooking enthusiasts- cookware & bakeware,im - cake toppers
cooking enthusiasts- cookware & bakeware,im - baking tools and accessories
cooking enthusiasts- cookware & bakeware,im - handmade kitchen & dining
cooking enthusiasts- mixer & blender accessories,ls - premium products purchasers in kitchen appliances
cooking enthusiasts- mixer & blender accessories,im - small kitchen appliances
cooking enthusiasts- mixer & blender accessories,im - juices & smoothies books
cooking enthusiasts- mixer & blender accessories,im - juicers
cooking enthusiasts- recipe inspiration,ls - home cooking enthusiasts
cooking enthusiasts- recipe inspiration,ls - foodies
cooking enthusiasts- recipe inspiration,im - baking enthusiasts
cooking enthusiasts- recipe inspiration,"im - cookbooks, food & wine"
cooking enthusiasts- recipe inspiration,im - food and drink books
cooking enthusiasts- recipe inspiration,im - food reference & gastronomy books
cooking enthusiasts- recipe inspiration,im - cooking for special occasions
cooking enthusiasts- recipe inspiration,im - european cooking
cooking enthusiasts- recipe inspiration,im - italian food & drink books
cooking enthusiasts- recipe inspiration,im - gourmet food & drink books
cooking enthusiasts- recipe inspiration,im - baking tools and accessories
cooking enthusiasts- recipe inspiration,im - british food & drink books
cosmetics experts & suppliers,im - make up
cosmetics experts & suppliers,ls - premium shoppers of cosmetics and beauty accessories (uk)
cosmetics experts & suppliers,im - face make-up
cosmetics experts & suppliers,im - beauty tools and accessories
cosmetics experts & suppliers,im - lip makeup
cosmetics experts & suppliers,im - make-up brushes & tools
cosmetics experts & suppliers,im - lipsticks
cosmetics experts & suppliers,ls - beauty products purchasers - new to category
cosmetics experts & suppliers,im - luxury beauty products
cosmetics experts & suppliers,im - make-up brush sets
cosmetics experts & suppliers,ls - beauty conscientious
cosmetologists,ls - premium shoppers of hair care (uk)
cosmetologists,im - manicure and pedicure
cosmetologists,im - beauty tools and accessories
cosmetologists,im - facial treatments & masks
cosmetologists,im - make-up brushes & tools
cosmetologists,im - face treatments & masks
cosmetologists,im - eye make-up tools
cosmetologists,im - manicure & pedicure tools & accessories
cosmetologists,ls - beauty conscientious
cost efficiency masters,ls - budget shoppers of oral care (uk)
country club members,ls - similar to golfers
country club members,im - horse riding products
country club members,im - golf
country club members,im - golf tees
country club members,im - golf cart bags
country club members,im - golf stand bags
country club members,im - golf trolleys
country club members,im - equestrian equipment
country club members,im - golf club sets
country club members,im - golf covers
country club members,im - golf towels
country club members,im - men's golf caps
country music fans,ls - country music fans
country music fans,ls - country music enthusiasts
coupe owners,ls - coupe owners
couture fashion,ls - premium shoppers of fashion (uk)
couture fashion,im - luggage & travel accessories
couture fashion,im - women's hobos and shoulder bags
couture fashion,im - women's top-handle bags
couture fashion,im - luxury beauty products
crafts fans,im - kids' art & craft supplies
crafts fans,im - hobbies & crafts books
crafts fans,im - kids' craft kits
crafts fans,im - handmade products
crafts fans,im - children's books on crafts & hobbies
crafts fans,im - kids' colouring pens & markers
crafts fans,im - kids' jewelry-making & beadwork kits
crafts fans,im - arts and crafts
crafts fans,im - handmade decorative accessories
crafts fans,im - handmade prints
creative thinkers,im - commercial graphic design books
creative thinkers,im - design & decorative arts books
creative thinkers,im - photo studio accessories
creative thinkers,im - other art media & techniques books
creative thinkers,im - interior design & decoration books
creative thinkers,im - interior design styles & decor books
cribbage players,im - card games
cribbage players,im - dedicated deck card games
cribbage players,"im - board, card and casino games"
cribbage players,im - board games
cricket fans,im - cricket books
cricket world cup fans,im - cricket books
crime & detective show fans,"ls - crime, thrillers and mystery fans"
crime & detective show fans,ls - interested in imdb crime movies & tv shows
crime & detective show fans,im - british detective stories books
crime & detective show fans,im - true crime biographies books
crime & detective show fans,ls - interested in imdb film-noir movies & tv shows
crime & detective show fans,"im - crime, thrillers and mystery tv shows"
crime and mystery film fans,ls - crime film fans
crime and mystery film fans,ls - interested in imdb drama movies & tv shows
crime and mystery film fans,"ls - crime, thrillers and mystery fans"
crime and mystery film fans,ls - interested in imdb thriller movies & tv shows
crime and mystery film fans,ls - interested in imdb crime movies & tv shows
crime and mystery film fans,ls - interested in imdb mystery movies & tv shows
crime and mystery film fans,ls - interested in prime video suspense movies & tv shows
crime and mystery film fans,imdb behavioral movie genre - crime
crime and mystery film fans,"ls - crime, thrillers and mystery film fans"
crime and mystery film fans,ls - interested in imdb film-noir movies & tv shows
crime and mystery film fans,"im - crime, thrillers and mystery films"
crime film fans,ls - crime film fans
crime film fans,"ls - crime, thrillers and mystery fans"
crime film fans,ls - interested in imdb crime movies & tv shows
crime film fans,imdb behavioral movie genre - crime
crime film fans,"ls - crime, thrillers and mystery film fans"
crime film fans,ls - interested in imdb film-noir movies & tv shows
crime film fans,"im - crime, thrillers and mystery films"
crime/detective readers,"ls - crime, thrillers and mystery book fans"
crime/detective readers,"ls - crime, thrillers and mystery fans"
crime/detective readers,im - mysteries books
crime/detective readers,im - police procedurals books
crime/detective readers,im - women sleuths books
crime/detective readers,im - british detective stories books
crime/detective readers,"im - crime, thrillers and mystery books"
crime/detective readers,im - crime & mystery graphic novels books
crime/detective readers,im - hard-boiled mystery books
crime/detective readers,im - legal thrillers books
crime/detective readers,im - lawyers & criminals humour books
crime/detective readers,im - true crime biographies books
crochet creators,im - hobbies & crafts books
crochet creators,im - knitting books
cross-stitch enthusiasts,im - hobbies & crafts books
cross-stitch enthusiasts,im - handmade products
cross-stitch enthusiasts,im - arts and crafts
cross-stitch enthusiasts,im - knitting books
cross-stitch enthusiasts,im - handmade decorative accessories
crossover owners,ls - suv owners
crossover owners,ls - suv & crossover owners
crystal collectors,im - earth sciences & geography books
culturally curious,im - children's books on geography & cultures
culturally curious,"im - art, architecture and photography"
culturally curious,"ls - interested in prime video arts, entertainment and culture movies & tv shows"
culturally curious,im - social & cultural history books
culturally curious,im - travel books
culturally curious,im - anthropology books
culturally curious,im - travel atlases & maps books
culturally curious,im - social & cultural anthropology books
culturally curious,im - tourist destinations & museum guides books
culturally curious,ls - interested in app  - lifestyle
culturally curious,im - local & urban cultural history books
culturally curious,im - travel documentary films
culturally curious,im - multicultural history books
culturally curious,ls - travel documentary film fans
curators and museum staff,im - art history & criticism books
curators and museum staff,im - art history books
customer relations pros,ls - b2b - amazon business - business products and services business
customer relations pros,ls - b2b - amazon business - consumer products and services business
cycling fans,im - cycling products
cycling fans,im - bike accessories
cycling fans,im - cycling clothing
cycling fans,im - men's cycling clothing
cycling fans,im - bike components & parts
cycling fans,im - men's cycling gloves
cycling fans,im - cycling helmets & accessories
cycling fans,im - women's cycling clothing
cycling fans,im - men's cycling hats
daily newspaper readers,im - news
dairy product suppliers,im - animal husbandry books
dance music fans,ls - electronic and dance music fans
dance music fans,im - electronic and dance music
dancing fans,"ls - musicals, dance and theatre film fans"
dancing fans,im - electronic and dance music
data masters,ls - similar to computing professionals
data masters,im - data storage
data masters,im - external data storage
dating,ls - interested in app  - social networking
dating,im - social apps
debaters,im - diplomacy books
dedicated walkers,"ls - climbing, hiking, mountaineering or winter sports fans"
dedicated walkers,ls - outdoor enthusiasts
dedicated walkers,im - camping & hiking hydration products
dedicated walkers,im - backpacks
dedicated walkers,im - women's sports and outdoor shoes
dedicated walkers,im - camping & hiking footwear
dedicated walkers,im - hiking hand & foot warmers
dedicated walkers,im - camping & hiking water storage
dedicated walkers,im - trekking poles
delivery and freight experts,packing list envelopes or bubble pack supplies or packing materials
delivery and freight experts,ls - b2b - amazon business - retail and distribution business
delivery and freight experts,ls - b2b - amazon business - retail trade business
delivery and freight experts,im - transportation industry books
delivery and freight experts,"ls - b2b - amazon business - transportation, communications, electric, gas and sanitary service"
dental care prioritisers,ls - budget shoppers of oral care (uk)
dental care prioritisers,im -  dental care
dental care prioritisers,ls - discount shoppers of oral care (uk)
dental care prioritisers,ls - premium shoppers of oral care (uk)
dental care prioritisers,im - power toothbrushes & accessories
dental care prioritisers,im - toothbrushes & accessories
dental care prioritisers,im - electric toothbrushes
dental care prioritisers,im - rotating toothbrushes
dental care prioritisers,im - dental care
dental care prioritisers,im - sonic toothbrushes
dental care prioritisers,im - interdental cleaning
dental care prioritisers,im - professional dental supplies
dental care prioritisers,im - toothpastes
dental care prioritisers,im - ultrasonic toothbrushes
